temperature,humidity,humidity_change,temperature_change,elapsed_time,label
33.87,78.31,0.007,0.034,0,0
33.86,78.14,-0.17,-0.013,1,0
33.82,77.95,-0.188,-0.034,2,0
33.77,77.9,-0.045,-0.053,3,0
33.78,77.77,-0.137,0.009,4,0
33.75,77.73,-0.033,-0.033,5,0
33.77,77.71,-0.02,0.025,6,0
33.8,77.52,-0.195,0.025,7,0
33.78,77.53,0.013,-0.022,8,0
33.82,77.38,-0.15,0.04,9,0
33.77,77.29,-0.096,-0.046,10,0
33.8,77.12,-0.167,0.029,11,0
33.82,77.1,-0.015,0.025,12,0
33.82,77.13,0.022,-0.002,13,0
33.8,77.22,0.095,-0.018,14,0
33.83,77.19,-0.031,0.027,15,0
33.86,77.18,-0.011,0.031,16,0
33.88,77.16,-0.023,0.015,17,0
33.84,76.97,-0.183,-0.033,18,0
33.8,76.86,-0.11,-0.048,19,0
33.75,76.74,-0.127,-0.045,20,0
33.76,76.62,-0.113,0.008,21,0
33.74,76.54,-0.087,-0.019,22,0
33.71,76.4,-0.134,-0.029,23,0
33.72,76.49,0.084,0.009,24,0
33.68,76.47,-0.014,-0.038,25,0
33.64,76.5,0.022,-0.039,26,0
33.69,76.41,-0.083,0.043,27,0
33.69,76.41,-0.005,0.0,28,0
33.72,76.42,0.009,0.029,29,0
33.68,76.46,0.036,-0.033,30,0
33.66,76.27,-0.187,-0.024,31,0
33.62,76.15,-0.116,-0.034,32,0
33.66,76.24,0.086,0.032,33,0
33.67,76.14,-0.102,0.01,34,0
33.7,76.06,-0.078,0.036,35,0
33.67,76.0,-0.059,-0.029,36,0
33.67,75.88,-0.123,0.001,37,0
33.68,75.76,-0.118,0.003,38,0
33.66,75.83,0.073,-0.016,39,0
33.71,75.7,-0.131,0.044,40,0
33.66,75.66,-0.044,-0.046,41,0
33.61,75.48,-0.182,-0.045,42,0
33.64,75.47,-0.008,0.024,43,0
33.59,75.4,-0.07,-0.049,44,0
33.63,75.32,-0.082,0.044,45,0
33.68,75.28,-0.038,0.042,46,0
33.62,75.34,0.062,-0.054,47,0
33.63,75.36,0.02,0.013,48,0
33.6,75.32,-0.035,-0.029,49,0
33.56,75.32,-0.004,-0.044,50,0
33.55,75.25,-0.066,-0.01,51,0
33.58,75.34,0.09,0.032,52,0
33.58,75.23,-0.117,-0.005,53,0
33.61,75.08,-0.143,0.036,54,0
33.59,75.15,0.065,-0.026,55,0
33.59,75.14,-0.005,0.005,56,0
33.61,74.99,-0.151,0.021,57,0
33.63,74.96,-0.035,0.022,58,0
33.58,74.92,-0.037,-0.055,59,0
33.53,74.82,-0.099,-0.054,60,0
33.56,74.9,0.082,0.032,61,0
33.53,74.96,0.053,-0.025,62,0
33.57,74.78,-0.179,0.032,63,0
33.52,74.86,0.088,-0.047,64,0
33.47,74.81,-0.051,-0.049,65,0
33.49,74.85,0.032,0.021,66,0
33.48,74.69,-0.158,-0.008,67,0
33.45,74.66,-0.032,-0.029,68,0
33.44,74.72,0.065,-0.013,69,0
33.44,74.59,-0.133,-0.002,70,0
33.4,74.61,0.022,-0.035,71,0
33.45,74.51,-0.103,0.044,72,0
33.44,74.51,-0.002,-0.012,73,0
33.39,74.46,-0.041,-0.043,74,0
33.37,74.34,-0.129,-0.022,75,0
33.34,74.32,-0.02,-0.033,76,0
33.29,74.19,-0.13,-0.048,77,0
33.26,74.18,-0.007,-0.033,78,0
33.29,74.25,0.075,0.03,79,0
33.26,74.08,-0.175,-0.032,80,0
33.22,74.08,0.004,-0.034,81,0
33.26,73.93,-0.157,0.038,82,0
33.25,73.9,-0.025,-0.008,83,0
33.28,73.94,0.039,0.025,84,0
33.23,73.8,-0.139,-0.046,85,0
33.22,73.73,-0.067,-0.013,86,0
33.24,73.68,-0.056,0.017,87,0
33.28,73.68,0.006,0.043,88,0
33.26,73.51,-0.167,-0.015,89,0
33.29,73.42,-0.095,0.031,90,0
33.26,73.3,-0.122,-0.037,91,0
33.24,73.24,-0.062,-0.013,92,0
33.21,73.12,-0.113,-0.031,93,0
33.2,73.2,0.08,-0.011,94,0
33.2,73.27,0.062,-0.001,95,0
33.25,73.08,-0.181,0.044,96,0
33.29,73.14,0.054,0.041,97,0
33.32,73.22,0.081,0.029,98,0
33.31,73.07,-0.147,-0.007,99,0
33.29,72.94,-0.132,-0.015,100,0
33.28,72.76,-0.179,-0.018,101,0
33.25,72.86,0.099,-0.029,102,0
33.24,72.9,0.039,-0.01,103,0
33.28,72.83,-0.07,0.04,104,0
33.28,72.93,0.102,0.0,105,0
33.24,72.95,0.019,-0.04,106,0
33.28,72.84,-0.107,0.041,107,0
33.28,72.82,-0.023,-0.001,108,0
33.23,72.85,0.028,-0.05,109,0
33.22,72.83,-0.021,-0.005,110,0
33.18,72.89,0.059,-0.04,111,0
33.14,72.98,0.092,-0.048,112,0
33.14,72.84,-0.141,0.004,113,0
